time(s)	cellId	rnti	lcid	packetSize
0.926002	1	1	5	1030
0.926042	1	1	5	1030
0.926082	1	1	5	1030
0.926122	1	1	5	1030
0.926162	1	1	5	1030
0.926202	1	1	5	1030
0.926242	1	1	5	1030
0.926282	1	1	5	1030
0.926322	1	1	5	1030
0.926362	1	1	5	1030
0.926402	1	1	5	1030
0.926442	1	1	5	1030
0.926482	1	1	5	1030
0.926522	1	1	5	1030
0.926562	1	1	5	1030
0.926602	1	1	5	1030
0.926642	1	1	5	1030
0.926682	1	1	5	1030
0.926722	1	1	5	1030
0.926762	1	1	5	1030
0.926802	1	1	5	1030
0.926842	1	1	5	1030
0.926882	1	1	5	1030
0.926922	1	1	5	1030
0.926962	1	1	5	1030
0.927002	1	1	5	1030
0.927042	1	1	5	1030
0.927082	1	1	5	1030
0.927122	1	1	5	1030
0.927162	1	1	5	1030
0.927202	1	1	5	1030
0.927242	1	1	5	1030
0.927282	1	1	5	1030
0.927322	1	1	5	1030
0.927362	1	1	5	1030
0.927402	1	1	5	1030
0.927442	1	1	5	1030
0.927482	1	1	5	1030
0.927522	1	1	5	1030
0.927562	1	1	5	1030
0.927602	1	1	5	1030
0.927642	1	1	5	1030
0.927682	1	1	5	1030
0.927722	1	1	5	1030
0.927762	1	1	5	1030
0.927802	1	1	5	1030
0.927842	1	1	5	1030
0.927882	1	1	5	1030
0.927922	1	1	5	1030
0.927962	1	1	5	1030
0.928002	1	1	5	1030
0.928042	1	1	5	1030
0.928082	1	1	5	1030
0.928122	1	1	5	1030
0.928162	1	1	5	1030
0.928202	1	1	5	1030
0.928242	1	1	5	1030
0.928282	1	1	5	1030
0.928322	1	1	5	1030
0.928362	1	1	5	1030
0.928402	1	1	5	1030
0.928442	1	1	5	1030
0.928482	1	1	5	1030
0.928522	1	1	5	1030
0.928562	1	1	5	1030
0.928602	1	1	5	1030
0.928642	1	1	5	1030
0.928682	1	1	5	1030
0.928722	1	1	5	1030
0.928762	1	1	5	1030
0.928802	1	1	5	1030
0.928842	1	1	5	1030
0.928882	1	1	5	1030
0.928922	1	1	5	1030
0.928962	1	1	5	1030
0.929002	1	1	5	1030
0.929042	1	1	5	1030
0.929082	1	1	5	1030
0.929122	1	1	5	1030
0.929162	1	1	5	1030
0.929202	1	1	5	1030
0.929242	1	1	5	1030
0.929282	1	1	5	1030
0.929322	1	1	5	1030
0.929362	1	1	5	1030
0.929402	1	1	5	1030
0.929442	1	1	5	1030
0.929482	1	1	5	1030
0.929522	1	1	5	1030
0.929562	1	1	5	1030
0.929602	1	1	5	1030
0.929642	1	1	5	1030
0.929682	1	1	5	1030
0.929722	1	1	5	1030
0.929762	1	1	5	1030
0.929802	1	1	5	1030
0.929842	1	1	5	1030
0.929882	1	1	5	1030
0.929922	1	1	5	1030
0.929962	1	1	5	1030
0.930002	1	1	5	1030
0.930042	1	1	5	1030
0.930082	1	1	5	1030
0.930122	1	1	5	1030
0.930162	1	1	5	1030
0.930202	1	1	5	1030
0.930242	1	1	5	1030
0.930282	1	1	5	1030
0.930322	1	1	5	1030
0.930362	1	1	5	1030
0.930402	1	1	5	1030
0.930442	1	1	5	1030
0.930482	1	1	5	1030
0.930522	1	1	5	1030
0.930562	1	1	5	1030
0.930602	1	1	5	1030
0.930642	1	1	5	1030
0.930682	1	1	5	1030
0.930722	1	1	5	1030
0.930762	1	1	5	1030
0.930802	1	1	5	1030
0.930842	1	1	5	1030
0.930882	1	1	5	1030
0.930922	1	1	5	1030
0.930962	1	1	5	1030
0.931002	1	1	5	1030
0.931042	1	1	5	1030
0.931082	1	1	5	1030
0.931122	1	1	5	1030
0.931162	1	1	5	1030
0.931202	1	1	5	1030
0.931242	1	1	5	1030
0.931282	1	1	5	1030
0.931322	1	1	5	1030
0.931362	1	1	5	1030
0.931402	1	1	5	1030
0.931442	1	1	5	1030
0.931482	1	1	5	1030
0.931522	1	1	5	1030
0.931562	1	1	5	1030
0.931602	1	1	5	1030
0.931642	1	1	5	1030
0.931682	1	1	5	1030
0.931722	1	1	5	1030
0.931762	1	1	5	1030
0.931802	1	1	5	1030
0.931842	1	1	5	1030
0.931882	1	1	5	1030
0.931922	1	1	5	1030
0.931962	1	1	5	1030
0.932002	1	1	5	1030
0.932042	1	1	5	1030
0.932082	1	1	5	1030
0.932122	1	1	5	1030
0.932162	1	1	5	1030
0.932202	1	1	5	1030
0.932242	1	1	5	1030
0.932282	1	1	5	1030
0.932322	1	1	5	1030
0.932362	1	1	5	1030
0.932402	1	1	5	1030
0.932442	1	1	5	1030
0.932482	1	1	5	1030
0.932522	1	1	5	1030
0.932562	1	1	5	1030
0.932602	1	1	5	1030
0.932642	1	1	5	1030
0.932682	1	1	5	1030
0.932722	1	1	5	1030
0.932762	1	1	5	1030
0.932802	1	1	5	1030
0.932842	1	1	5	1030
0.932882	1	1	5	1030
0.932922	1	1	5	1030
0.932962	1	1	5	1030
0.933002	1	1	5	1030
0.933042	1	1	5	1030
0.933082	1	1	5	1030
0.933122	1	1	5	1030
0.933162	1	1	5	1030
0.933202	1	1	5	1030
0.933242	1	1	5	1030
0.933282	1	1	5	1030
0.933322	1	1	5	1030
0.933362	1	1	5	1030
0.933402	1	1	5	1030
0.933442	1	1	5	1030
0.933482	1	1	5	1030
0.933522	1	1	5	1030
0.933562	1	1	5	1030
0.933602	1	1	5	1030
0.933642	1	1	5	1030
0.933682	1	1	5	1030
0.933722	1	1	5	1030
0.933762	1	1	5	1030
0.933802	1	1	5	1030
0.933842	1	1	5	1030
0.933882	1	1	5	1030
0.933922	1	1	5	1030
0.933962	1	1	5	1030
0.934002	1	1	5	1030
0.934042	1	1	5	1030
0.934082	1	1	5	1030
0.934122	1	1	5	1030
0.934162	1	1	5	1030
0.934202	1	1	5	1030
0.934242	1	1	5	1030
0.934282	1	1	5	1030
0.934322	1	1	5	1030
0.934362	1	1	5	1030
0.934402	1	1	5	1030
0.934442	1	1	5	1030
0.934482	1	1	5	1030
0.934522	1	1	5	1030
0.934562	1	1	5	1030
0.934602	1	1	5	1030
0.934642	1	1	5	1030
0.934682	1	1	5	1030
0.934722	1	1	5	1030
0.934762	1	1	5	1030
0.934802	1	1	5	1030
0.934842	1	1	5	1030
0.934882	1	1	5	1030
0.934922	1	1	5	1030
0.934962	1	1	5	1030
0.935002	1	1	5	1030
0.935042	1	1	5	1030
0.935082	1	1	5	1030
0.935122	1	1	5	1030
0.935162	1	1	5	1030
0.935202	1	1	5	1030
0.935242	1	1	5	1030
0.935282	1	1	5	1030
0.935322	1	1	5	1030
0.935362	1	1	5	1030
0.935402	1	1	5	1030
0.935442	1	1	5	1030
0.935482	1	1	5	1030
0.935522	1	1	5	1030
0.935562	1	1	5	1030
0.935602	1	1	5	1030
0.935642	1	1	5	1030
0.935682	1	1	5	1030
0.935722	1	1	5	1030
0.935762	1	1	5	1030
0.935802	1	1	5	1030
0.935842	1	1	5	1030
0.935882	1	1	5	1030
0.935922	1	1	5	1030
0.935962	1	1	5	1030
0.936002	1	1	5	1030
0.936042	1	1	5	1030
0.936082	1	1	5	1030
0.936122	1	1	5	1030
0.936162	1	1	5	1030
0.936202	1	1	5	1030
0.936242	1	1	5	1030
0.936282	1	1	5	1030
0.936322	1	1	5	1030
0.936362	1	1	5	1030
0.936402	1	1	5	1030
0.936442	1	1	5	1030
0.936482	1	1	5	1030
0.936522	1	1	5	1030
0.936562	1	1	5	1030
0.936602	1	1	5	1030
0.936642	1	1	5	1030
0.936682	1	1	5	1030
0.936722	1	1	5	1030
0.936762	1	1	5	1030
0.936802	1	1	5	1030
0.936842	1	1	5	1030
0.936882	1	1	5	1030
0.936922	1	1	5	1030
0.936962	1	1	5	1030
0.937002	1	1	5	1030
0.937042	1	1	5	1030
0.937082	1	1	5	1030
0.937122	1	1	5	1030
0.937162	1	1	5	1030
0.937202	1	1	5	1030
0.937242	1	1	5	1030
0.937282	1	1	5	1030
0.937322	1	1	5	1030
0.937362	1	1	5	1030
0.937402	1	1	5	1030
0.937442	1	1	5	1030
0.937482	1	1	5	1030
0.937522	1	1	5	1030
0.937562	1	1	5	1030
0.937602	1	1	5	1030
0.937642	1	1	5	1030
0.937682	1	1	5	1030
0.937722	1	1	5	1030
0.937762	1	1	5	1030
